-60.00	9	9.00	0.00
-51.43	11	11.00	0.00
-42.86	9	9.00	0.00
-34.29	7	7.00	0.00
-25.71	8	8.00	0.00
-17.14	55	55.00	0.00
-8.57	253	253.00	0.00
0.00	252	252.00	0.00
8.57	89	89.00	0.00
17.14	12	12.00	0.00
25.71	15	15.00	0.00
34.29	9	9.00	0.00
42.86	10	10.00	0.00
51.43	17	17.00	0.00
60.00	3	3.00	0.00
-60.00	14	11.50	2.50
-51.43	7	9.00	2.00
-42.86	12	10.50	1.50
-34.29	10	8.50	1.50
-25.71	12	10.00	2.00
-17.14	66	60.50	5.50
-8.57	243	248.00	5.00
0.00	272	262.00	10.00
8.57	136	112.50	23.50
17.14	27	19.50	7.50
25.71	14	14.50	0.50
34.29	12	10.50	1.50
42.86	16	13.00	3.00
51.43	13	15.00	2.00
60.00	5	4.00	1.00
-60.00	17	13.33	2.33
-51.43	15	11.00	2.31
-42.86	7	9.33	1.45
-34.29	8	8.33	0.88
-25.71	9	9.67	1.20
-17.14	79	66.67	6.94
-8.57	204	233.33	14.95
0.00	286	270.00	9.87
8.57	120	115.00	13.80
17.14	15	18.00	4.58
25.71	13	14.00	0.58
34.29	18	13.00	2.65
42.86	11	12.33	1.86
51.43	7	12.33	2.91
60.00	11	6.33	2.40
-60.00	11	12.75	1.75
-51.43	14	11.75	1.80
-42.86	8	9.00	1.08
-34.29	3	7.00	1.47
-25.71	15	11.00	1.58
-17.14	72	68.00	5.08
-8.57	221	230.25	11.01
0.00	274	271.00	7.05
8.57	109	113.50	9.87
17.14	20	18.50	3.28
25.71	7	12.25	1.80
34.29	10	12.25	2.02
42.86	8	11.25	1.70
51.43	10	11.75	2.14
60.00	7	6.50	1.71
